TICKER;DATE;OPEN;HIGH;LOW;CLOSE;VOL;WAPRICE;NOMINAL
HKD;2017-08-08;;;;76.7792;;;10
HUF;2017-08-08;;;;23.3037;;;100
INR;2017-08-08;;;;94.2532;;;100
JPY;2017-08-08;;;;54.2136;;;100
KGS;2017-08-08;;;;86.8931;;;100
KRW;2017-08-08;;;;53.2645;;;1000
KZT;2017-08-08;;;;18.0968;;;100
MDL;2017-08-08;;;;33.5534;;;10
NOK;2017-08-08;;;;75.6477;;;10
PLN;2017-08-08;;;;16.6983;;;1
RON;2017-08-08;;;;15.5287;;;1
SEK;2017-08-08;;;;73.8697;;;10
SGD;2017-08-08;;;;44.0908;;;1
TJS;2017-08-08;;;;68.1731;;;10
TMT;2017-08-08;;;;17.1798;;;1
TRY;2017-08-08;;;;17.0066;;;1
UAH;2017-08-08;;;;23.3109;;;10
USD;2017-08-08;;;;60.0605;;;1
UZS;2017-08-08;;;;14.6548;;;1000
XDR;2017-08-08;;;;84.9207;;;1
ZAR;2017-08-08;;;;44.7855;;;10
AMD;2017-08-09;;;;12.5237;;;100
AUD;2017-08-09;;;;47.571;;;1
AZN;2017-08-09;;;;35.2874;;;1
BGN;2017-08-09;;;;36.2272;;;1
BRL;2017-08-09;;;;19.1914;;;1
BYN;2017-08-09;;;;30.7397;;;1
CAD;2017-08-09;;;;47.3844;;;1
CHF;2017-08-09;;;;61.6723;;;1
CNY;2017-08-09;;;;89.4858;;;10
CZK;2017-08-09;;;;27.1025;;;10
DKK;2017-08-09;;;;95.2593;;;10
EUR;2017-08-09;;;;70.8405;;;1
GBP;2017-08-09;;;;78.2551;;;1
HKD;2017-08-09;;;;76.6971;;;10
HUF;2017-08-09;;;;23.2685;;;100
INR;2017-08-09;;;;94.1035;;;100
JPY;2017-08-09;;;;54.2613;;;100
KGS;2017-08-09;;;;86.8142;;;100
KRW;2017-08-09;;;;53.2487;;;1000
KZT;2017-08-09;;;;18.0479;;;100
MDL;2017-08-09;;;;33.5225;;;10
NOK;2017-08-09;;;;75.984;;;10
PLN;2017-08-09;;;;16.6542;;;1
RON;2017-08-09;;;;15.5254;;;1
SEK;2017-08-09;;;;73.755;;;10
SGD;2017-08-09;;;;44.0671;;;1
TJS;2017-08-09;;;;68.0915;;;10
TMT;2017-08-09;;;;17.1617;;;1
TRY;2017-08-09;;;;16.9886;;;1
UAH;2017-08-09;;;;23.3056;;;10
USD;2017-08-09;;;;59.9886;;;1
UZS;2017-08-09;;;;14.6421;;;1000
XDR;2017-08-09;;;;84.5509;;;1
ZAR;2017-08-09;;;;45.3686;;;10
AMD;2017-08-10;;;;12.5284;;;100
AUD;2017-08-10;;;;47.2134;;;1
AZN;2017-08-10;;;;35.2567;;;1
BGN;2017-08-10;;;;35.9544;;;1
BRL;2017-08-10;;;;19.171;;;1
BYN;2017-08-10;;;;30.6706;;;1
CAD;2017-08-10;;;;47.2767;;;1
CHF;2017-08-10;;;;62.2132;;;1
CNY;2017-08-10;;;;89.7783;;;10
CZK;2017-08-10;;;;26.9294;;;10
DKK;2017-08-10;;;;94.5222;;;10
EUR;2017-08-10;;;;70.4183;;;1
GBP;2017-08-10;;;;77.9854;;;1
HKD;2017-08-10;;;;76.7237;;;10
HUF;2017-08-10;;;;23.0842;;;100
INR;2017-08-10;;;;93.9608;;;100
JPY;2017-08-10;;;;54.6417;;;100
KGS;2017-08-10;;;;86.7116;;;100
KRW;2017-08-10;;;;52.657;;;1000
KZT;2017-08-10;;;;18.018;;;100
MDL;2017-08-10;;;;33.5025;;;10
NOK;2017-08-10;;;;75.364;;;10
PLN;2017-08-10;;;;16.4959;;;1
RON;2017-08-10;;;;15.4007;;;1
SEK;2017-08-10;;;;73.1037;;;10
SGD;2017-08-10;;;;43.9888;;;1
TJS;2017-08-10;;;;68.0217;;;10
TMT;2017-08-10;;;;17.1563;;;1
TRY;2017-08-10;;;;16.9267;;;1
UAH;2017-08-10;;;;23.3062;;;10
USD;2017-08-10;;;;59.9611;;;1
UZS;2017-08-10;;;;14.5309;;;1000
XDR;2017-08-10;;;;84.5985;;;1
ZAR;2017-08-10;;;;44.5417;;;10
AMD;2017-08-11;;;;12.5245;;;100
AUD;2017-08-11;;;;47.2187;;;1
AZN;2017-08-11;;;;35.2383;;;1
BGN;2017-08-11;;;;35.9227;;;1
BRL;2017-08-11;;;;18.991;;;1
BYN;2017-08-11;;;;30.7017;;;1
CAD;2017-08-11;;;;47.0961;;;1
CHF;2017-08-11;;;;62.0327;;;1
CNY;2017-08-11;;;;89.9725;;;10
CZK;2017-08-11;;;;26.8798;;;10
DKK;2017-08-11;;;;94.4624;;;10
EUR;2017-08-11;;;;70.2677;;;1
GBP;2017-08-11;;;;77.693;;;1
HKD;2017-08-11;;;;76.6758;;;10
HUF;2017-08-11;;;;23.0145;;;100
INR;2017-08-11;;;;93.7062;;;100
JPY;2017-08-11;;;;54.494;;;100
KGS;2017-08-11;;;;86.6664;;;100
KRW;2017-08-11;;;;52.4414;;;1000
KZT;2017-08-11;;;;18.0324;;;100
MDL;2017-08-11;;;;33.5084;;;10
NOK;2017-08-11;;;;75.2405;;;10
PLN;2017-08-11;;;;16.4525;;;1
RON;2017-08-11;;;;15.3804;;;1
SEK;2017-08-11;;;;73.2916;;;10
SGD;2017-08-11;;;;43.911;;;1
TJS;2017-08-11;;;;68.024;;;10
TMT;2017-08-11;;;;17.1473;;;1
TRY;2017-08-11;;;;16.9413;;;1
UAH;2017-08-11;;;;23.319;;;10
USD;2017-08-11;;;;59.9298;;;1
UZS;2017-08-11;;;;14.5249;;;1000
XDR;2017-08-11;;;;84.4039;;;1
