TICKER;DATE;OPEN;HIGH;LOW;CLOSE;VOL;WAPRICE;NOMINAL
CAD;2016-12-09;;;;47.9647;;;1
CHF;2016-12-09;;;;62.962;;;1
CNY;2016-12-09;;;;92.1421;;;10
CZK;2016-12-09;;;;25.2585;;;10
DKK;2016-12-09;;;;91.8285;;;10
EUR;2016-12-09;;;;68.2458;;;1
GBP;2016-12-09;;;;80.0807;;;1
HUF;2016-12-09;;;;21.7682;;;100
INR;2016-12-09;;;;94.0436;;;100
JPY;2016-12-09;;;;55.8405;;;100
KGS;2016-12-09;;;;91.4522;;;100
KRW;2016-12-09;;;;54.6893;;;1000
KZT;2016-12-09;;;;18.9063;;;100
MDL;2016-12-09;;;;31.4982;;;10
NOK;2016-12-09;;;;75.8672;;;10
PLN;2016-12-09;;;;15.3994;;;1
RON;2016-12-09;;;;15.1811;;;1
SEK;2016-12-09;;;;69.9307;;;10
SGD;2016-12-09;;;;44.7417;;;1
TJS;2016-12-09;;;;80.3423;;;10
TMT;2016-12-09;;;;18.1748;;;1
TRY;2016-12-09;;;;18.8476;;;1
UAH;2016-12-09;;;;24.5936;;;10
USD;2016-12-09;;;;63.3901;;;1
UZS;2016-12-09;;;;19.9654;;;1000
XDR;2016-12-09;;;;86.0324;;;1
ZAR;2016-12-09;;;;46.8515;;;10
AMD;2016-12-10;;;;13.1601;;;100
AUD;2016-12-10;;;;47.2745;;;1
AZN;2016-12-10;;;;35.8697;;;1
BGN;2016-12-10;;;;34.3533;;;1
BRL;2016-12-10;;;;18.7536;;;1
BYN;2016-12-10;;;;32.1171;;;1
CAD;2016-12-10;;;;47.9857;;;1
CHF;2016-12-10;;;;62.3182;;;1
CNY;2016-12-10;;;;91.7379;;;10
CZK;2016-12-10;;;;24.8485;;;10
DKK;2016-12-10;;;;90.3448;;;10
EUR;2016-12-10;;;;67.2086;;;1
GBP;2016-12-10;;;;79.6349;;;1
HUF;2016-12-10;;;;21.3615;;;100
INR;2016-12-10;;;;93.8306;;;100
JPY;2016-12-10;;;;55.2984;;;100
KGS;2016-12-10;;;;91.3724;;;100
KRW;2016-12-10;;;;54.2515;;;1000
KZT;2016-12-10;;;;18.9255;;;100
MDL;2016-12-10;;;;31.4314;;;10
NOK;2016-12-10;;;;74.911;;;10
PLN;2016-12-10;;;;15.1388;;;1
RON;2016-12-10;;;;14.9433;;;1
SEK;2016-12-10;;;;69.225;;;10
SGD;2016-12-10;;;;44.4698;;;1
TJS;2016-12-10;;;;80.2826;;;10
TMT;2016-12-10;;;;18.1498;;;1
TRY;2016-12-10;;;;18.2745;;;1
UAH;2016-12-10;;;;24.536;;;10
USD;2016-12-10;;;;63.3028;;;1
UZS;2016-12-10;;;;19.9379;;;1000
XDR;2016-12-10;;;;86.157;;;1
ZAR;2016-12-10;;;;46.0759;;;10
AMD;2016-12-13;;;;12.6813;;;100
AUD;2016-12-13;;;;45.902;;;1
AZN;2016-12-13;;;;34.7225;;;1
BGN;2016-12-13;;;;33.2867;;;1
BRL;2016-12-13;;;;18.2271;;;1
BYN;2016-12-13;;;;31.515;;;1
CAD;2016-12-13;;;;46.9291;;;1
CHF;2016-12-13;;;;60.4975;;;1
CNY;2016-12-13;;;;89.0521;;;10
CZK;2016-12-13;;;;24.0873;;;10
DKK;2016-12-13;;;;87.5493;;;10
EUR;2016-12-13;;;;65.072;;;1
GBP;2016-12-13;;;;77.5728;;;1
HUF;2016-12-13;;;;20.6843;;;100
INR;2016-12-13;;;;91.0481;;;100
JPY;2016-12-13;;;;53.0866;;;100
KGS;2016-12-13;;;;89.0534;;;100
KRW;2016-12-13;;;;52.651;;;1000
KZT;2016-12-13;;;;18.639;;;100
MDL;2016-12-13;;;;30.599;;;10
NOK;2016-12-13;;;;72.9202;;;10
PLN;2016-12-13;;;;14.623;;;1
RON;2016-12-13;;;;14.4524;;;1
SEK;2016-12-13;;;;67.0051;;;10
SGD;2016-12-13;;;;43.0301;;;1
TJS;2016-12-13;;;;78.2968;;;10
TMT;2016-12-13;;;;17.66;;;1
TRY;2016-12-13;;;;17.4696;;;1
UAH;2016-12-13;;;;23.6166;;;10
USD;2016-12-13;;;;61.5804;;;1
UZS;2016-12-13;;;;19.2216;;;1000
XDR;2016-12-13;;;;83.1317;;;1
ZAR;2016-12-13;;;;44.4807;;;10
AMD;2016-12-14;;;;12.5915;;;100
AUD;2016-12-14;;;;45.759;;;1
AZN;2016-12-14;;;;34.4342;;;1
BGN;2016-12-14;;;;33.1626;;;1
BRL;2016-12-14;;;;18.2907;;;1
BYN;2016-12-14;;;;31.2773;;;1
CAD;2016-12-14;;;;46.504;;;1
CHF;2016-12-14;;;;60.2021;;;1
CNY;2016-12-14;;;;88.4853;;;10
CZK;2016-12-14;;;;23.9985;;;10
DKK;2016-12-14;;;;87.2227;;;10
EUR;2016-12-14;;;;64.9774;;;1
GBP;2016-12-14;;;;77.4721;;;1
HUF;2016-12-14;;;;20.6475;;;100
INR;2016-12-14;;;;90.4927;;;100
JPY;2016-12-14;;;;52.9538;;;100
KGS;2016-12-14;;;;88.2013;;;100
KRW;2016-12-14;;;;52.3427;;;1000
KZT;2016-12-14;;;;18.4318;;;100
MDL;2016-12-14;;;;30.375;;;10
NOK;2016-12-14;;;;72.3892;;;10
PLN;2016-12-14;;;;14.5746;;;1
RON;2016-12-14;;;;14.4061;;;1
SEK;2016-12-14;;;;66.6292;;;10
SGD;2016-12-14;;;;42.8254;;;1
TJS;2016-12-14;;;;77.6959;;;10
TMT;2016-12-14;;;;17.5184;;;1
TRY;2016-12-14;;;;17.5956;;;1
UAH;2016-12-14;;;;23.4238;;;10
USD;2016-12-14;;;;61.069;;;1
UZS;2016-12-14;;;;19.0543;;;1000
XDR;2016-12-14;;;;82.4926;;;1
ZAR;2016-12-14;;;;44.9615;;;10
AMD;2016-12-15;;;;12.5507;;;100
AUD;2016-12-15;;;;45.5998;;;1
AZN;2016-12-15;;;;34.1982;;;1
BGN;2016-12-15;;;;33.037;;;1
BRL;2016-12-15;;;;18.2305;;;1
BYN;2016-12-15;;;;31.1117;;;1
CAD;2016-12-15;;;;46.3616;;;1
CHF;2016-12-15;;;;60.0869;;;1
CNY;2016-12-15;;;;88.061;;;10
CZK;2016-12-15;;;;23.9109;;;10
DKK;2016-12-15;;;;86.8995;;;10
EUR;2016-12-15;;;;64.7543;;;1
GBP;2016-12-15;;;;77.0497;;;1
HUF;2016-12-15;;;;20.5665;;;100
INR;2016-12-15;;;;90.0251;;;100
JPY;2016-12-15;;;;52.8121;;;100
KGS;2016-12-15;;;;87.8898;;;100
KRW;2016-12-15;;;;52.0375;;;1000
KZT;2016-12-15;;;;18.3027;;;100
MDL;2016-12-15;;;;30.2527;;;10
NOK;2016-12-15;;;;72.0387;;;10
PLN;2016-12-15;;;;14.5627;;;1
RON;2016-12-15;;;;14.3422;;;1
SEK;2016-12-15;;;;66.3393;;;10
SGD;2016-12-15;;;;42.6752;;;1
TJS;2016-12-15;;;;77.0696;;;10
TMT;2016-12-15;;;;17.4495;;;1
TRY;2016-12-15;;;;17.444;;;1
UAH;2016-12-15;;;;23.1517;;;10
USD;2016-12-15;;;;60.8079;;;1
UZS;2016-12-15;;;;19.0025;;;1000
XDR;2016-12-15;;;;82.2026;;;1
ZAR;2016-12-15;;;;44.6953;;;10
AMD;2016-12-16;;;;12.727;;;100
AUD;2016-12-16;;;;45.6051;;;1
AZN;2016-12-16;;;;35.2957;;;1
BGN;2016-12-16;;;;33.0492;;;1
BRL;2016-12-16;;;;18.2871;;;1
BYN;2016-12-16;;;;31.2639;;;1
CAD;2016-12-16;;;;46.3365;;;1
CHF;2016-12-16;;;;60.1687;;;1
CNY;2016-12-16;;;;88.8702;;;10
CZK;2016-12-16;;;;23.9078;;;10
DKK;2016-12-16;;;;86.8858;;;10
EUR;2016-12-16;;;;64.6139;;;1
GBP;2016-12-16;;;;77.1816;;;1
HUF;2016-12-16;;;;20.6036;;;100
INR;2016-12-16;;;;90.8628;;;100
JPY;2016-12-16;;;;52.3188;;;100
KGS;2016-12-16;;;;89.0062;;;100
KRW;2016-12-16;;;;52.2162;;;1000
KZT;2016-12-16;;;;18.3993;;;100
MDL;2016-12-16;;;;30.6651;;;10
NOK;2016-12-16;;;;71.5393;;;10
PLN;2016-12-16;;;;14.572;;;1
RON;2016-12-16;;;;14.3085;;;1
SEK;2016-12-16;;;;66.3189;;;10
SGD;2016-12-16;;;;42.8033;;;1
TJS;2016-12-16;;;;78.2362;;;10
TMT;2016-12-16;;;;17.6863;;;1
TRY;2016-12-16;;;;17.4812;;;1
UAH;2016-12-16;;;;23.4405;;;10
USD;2016-12-16;;;;61.6368;;;1
UZS;2016-12-16;;;;19.2435;;;1000
XDR;2016-12-16;;;;83.4513;;;1
ZAR;2016-12-16;;;;43.774;;;10
AMD;2016-12-17;;;;12.7718;;;100
AUD;2016-12-17;;;;45.3688;;;1
AZN;2016-12-17;;;;34.6296;;;1
BGN;2016-12-17;;;;32.9623;;;1
BRL;2016-12-17;;;;18.3266;;;1
BYN;2016-12-17;;;;31.3937;;;1
CAD;2016-12-17;;;;46.3078;;;1
CHF;2016-12-17;;;;60.0696;;;1
CNY;2016-12-17;;;;88.7961;;;10
CZK;2016-12-17;;;;23.8589;;;10
DKK;2016-12-17;;;;86.7162;;;10
EUR;2016-12-17;;;;64.4809;;;1
GBP;2016-12-17;;;;76.8374;;;1
HUF;2016-12-17;;;;20.6093;;;100
INR;2016-12-17;;;;91.0722;;;100
JPY;2016-12-17;;;;52.2013;;;100
KGS;2016-12-17;;;;89.1984;;;100
KRW;2016-12-17;;;;52.0828;;;1000
KZT;2016-12-17;;;;18.4253;;;100
MDL;2016-12-17;;;;30.6535;;;10
NOK;2016-12-17;;;;71.2868;;;10
PLN;2016-12-17;;;;14.5589;;;1
RON;2016-12-17;;;;14.2636;;;1
SEK;2016-12-17;;;;65.8058;;;10
SGD;2016-12-17;;;;42.7968;;;1
TJS;2016-12-17;;;;78.3152;;;10
TMT;2016-12-17;;;;17.7192;;;1
TRY;2016-12-17;;;;17.6736;;;1
UAH;2016-12-17;;;;23.4574;;;10
USD;2016-12-17;;;;61.7515;;;1
UZS;2016-12-17;;;;19.3275;;;1000
XDR;2016-12-17;;;;82.7334;;;1
ZAR;2016-12-17;;;;44.3528;;;10
AMD;2016-12-20;;;;12.8201;;;100
AUD;2016-12-20;;;;45.0781;;;1
AZN;2016-12-20;;;;34.6529;;;1
BGN;2016-12-20;;;;33.0444;;;1
BRL;2016-12-20;;;;18.2173;;;1
BYN;2016-12-20;;;;31.3941;;;1
CAD;2016-12-20;;;;46.3078;;;1
CHF;2016-12-20;;;;60.2566;;;1
CNY;2016-12-20;;;;88.9737;;;10
CZK;2016-12-20;;;;23.9165;;;10
DKK;2016-12-20;;;;86.9407;;;10
EUR;2016-12-20;;;;64.6727;;;1
GBP;2016-12-20;;;;77.1796;;;1
HUF;2016-12-20;;;;20.7078;;;100
INR;2016-12-20;;;;91.2378;;;100
JPY;2016-12-20;;;;52.6504;;;100
KGS;2016-12-20;;;;89.3222;;;100
KRW;2016-12-20;;;;52.0988;;;1000
KZT;2016-12-20;;;;18.4377;;;100
MDL;2016-12-20;;;;30.8503;;;10
NOK;2016-12-20;;;;71.5231;;;10
PLN;2016-12-20;;;;14.61;;;1
RON;2016-12-20;;;;14.3255;;;1
SEK;2016-12-20;;;;66.1632;;;10
SGD;2016-12-20;;;;42.725;;;1
TJS;2016-12-20;;;;78.5173;;;10
TMT;2016-12-20;;;;17.7312;;;1
TRY;2016-12-20;;;;17.625;;;1
UAH;2016-12-20;;;;23.4242;;;10
USD;2016-12-20;;;;61.7931;;;1
UZS;2016-12-20;;;;19.205;;;1000
XDR;2016-12-20;;;;82.8349;;;1
ZAR;2016-12-20;;;;44.178;;;10
AMD;2016-12-21;;;;12.8609;;;100
AUD;2016-12-21;;;;44.7902;;;1
AZN;2016-12-21;;;;34.6549;;;1
BGN;2016-12-21;;;;32.8095;;;1
BRL;2016-12-21;;;;18.3645;;;1
BYN;2016-12-21;;;;31.3928;;;1
CAD;2016-12-21;;;;46.0619;;;1
CHF;2016-12-21;;;;60.0726;;;1
CNY;2016-12-21;;;;88.9072;;;10
CZK;2016-12-21;;;;23.7483;;;10
DKK;2016-12-21;;;;86.3119;;;10
EUR;2016-12-21;;;;64.2006;;;1
GBP;2016-12-21;;;;76.4796;;;1
HUF;2016-12-21;;;;20.6085;;;100
INR;2016-12-21;;;;90.9812;;;100
JPY;2016-12-21;;;;52.3014;;;100
KGS;2016-12-21;;;;89.1437;;;100
KRW;2016-12-21;;;;51.7979;;;1000
KZT;2016-12-21;;;;18.4443;;;100
MDL;2016-12-21;;;;30.5395;;;10
NOK;2016-12-21;;;;71.0209;;;10
PLN;2016-12-21;;;;14.5366;;;1
RON;2016-12-21;;;;14.2012;;;1
SEK;2016-12-21;;;;65.939;;;10
SGD;2016-12-21;;;;42.7245;;;1
TJS;2016-12-21;;;;78.3725;;;10
TMT;2016-12-21;;;;17.7358;;;1
TRY;2016-12-21;;;;17.5749;;;1
UAH;2016-12-21;;;;23.5237;;;10
USD;2016-12-21;;;;61.7967;;;1
UZS;2016-12-21;;;;19.2333;;;1000
XDR;2016-12-21;;;;82.8335;;;1
ZAR;2016-12-21;;;;43.7592;;;10
AMD;2016-12-22;;;;12.7046;;;100
AUD;2016-12-22;;;;44.3042;;;1
AZN;2016-12-22;;;;34.1717;;;1
BGN;2016-12-22;;;;32.5066;;;1
BRL;2016-12-22;;;;18.216;;;1
BYN;2016-12-22;;;;31.2419;;;1
CAD;2016-12-22;;;;45.7165;;;1
CHF;2016-12-22;;;;59.4505;;;1
CNY;2016-12-22;;;;87.9092;;;10
CZK;2016-12-22;;;;23.5271;;;10
DKK;2016-12-22;;;;85.5248;;;10
